city,orders,revenue,restaurants,aov,pct_revenue
Tirupati,243,42503460.0,243,175634.13223140495,4.40796417115903
"Electronic City,Bangalore",1039,28599623.0,1039,27847.73417721519,2.966020025020451
"Baner,Pune",814,26784833.0,814,33149.54579207921,2.7778111286581857
Raipur,482,22756624.0,482,47508.609603340294,2.3600521757178754
"Malviya Nagar,Delhi",901,16508442.0,901,18342.713333333333,1.7120634616018773
Sultanpur,265,15056504.0,265,57032.21212121212,1.5614853514258045
"Vastrapur,Ahmedabad",596,13091765.0,596,22114.467905405407,1.3577254900479585
"Indirapuram,Delhi",1279,13027458.0,1279,10856.215,1.351056316480566
"Navrangpura,Ahmedabad",433,12396403.0,433,28828.84418604651,1.2856106367634144
"Rohini,Delhi",1136,12189017.0,1136,10961.346223021583,1.2641029746201446
Bikaner,1666,11355334.0,1666,6886.194057004245,1.177643077141107
Tirupur,237,10930719.0,237,46121.17721518988,1.1336069514577698
"Bopal,Ahmedabad",398,10830446.0,398,27418.85063291139,1.1232078029805723
"Ghatlodia,Ahmedabad",301,10564418.0,301,35933.39455782313,1.0956184751346723
"Hinjewadi,Pune",492,10505601.0,492,21483.84662576687,1.0895186604688767
Sirsa,132,10306212.0,132,80517.28125,1.0688403540880966
Sonipat,117,10055161.0,117,85941.54700854702,1.0428042663640937
"BTM,Bangalore",1161,8986541.0,1161,7995.143238434163,0.9319794376893468
"GOTA,Ahmedabad",243,8933109.0,243,36761.765432098764,0.9264380925472485
"Viman Nagar,Pune",1001,8801875.0,1001,8793.081918081918,0.9128280295067834
Ranchi,414,8533995.0,414,21123.75,0.8850466337764104
"Chandkheda,Ahmedabad",383,8296678.0,383,22183.631016042782,0.8604348766816481
"Rajouri Garden,Delhi",710,8261529.0,710,11635.956338028169,0.8567896315027363
Agra,455,8118481.0,455,17842.815384615384,0.8419543578860482
"NSP,Delhi",451,7982889.0,451,17739.753333333334,0.827892333808578
"Connaught Place,Delhi",258,7958916.0,258,31583.0,0.8254061332716053
Rajahmundry,138,7716956.0,138,55919.97101449275,0.800312858256968
Trichy,261,7590824.0,261,29308.200772200773,0.7872319152740523
Bareilly,344,7395197.0,344,22075.214925373133,0.7669437597471535
Solapur,182,7176317.0,182,39648.160220994476,0.7442440737031635
Rohtak,276,6910034.0,276,25783.70895522388,0.7166283002252221
"Old Gurgaon (Zone 6),Gurgaon",612,6894362.0,612,11302.232786885246,0.7150029827924671
Sri-ganganagar,92,6826475.0,92,74200.81521739131,0.7079625332928858
"Kammanahalli/Kalyan Nagar,Bangalore",677,6463715.0,677,9990.285935085009,0.6703412882759001
Sitapur,58,6190980.0,58,106741.03448275862,0.6420563884531314
Varanasi,646,6137966.0,646,9666.088188976379,0.6365583934059088
"PCMC,Pune",495,5966684.0,495,12053.907070707071,0.6187950179262547
Allahabad,475,5849241.0,475,12498.378205128205,0.606615196891604
"Dilshad Gardens,Delhi",676,5668253.0,676,8997.226984126984,0.5878452280606022
"Chattarpur,Delhi",636,5381949.0,636,8765.389250814333,0.5581531094881492
Siliguri,258,5380201.0,258,21520.804,0.5579718272732146
"Gandhinagar,Ahmedabad",389,5345196.0,389,13883.625974025974,0.5543415160982792
"Adajan,Surat",427,5342441.0,427,12967.089805825242,0.5540557995638713
"Piplod,Surat",490,5307186.0,490,11244.03813559322,0.5503995612986992
"Dwarka Nagar,Vizag",486,5222256.0,486,11064.101694915254,0.5415916102035051
"Athwa,Surat",411,5217311.0,411,13275.600508905853,0.5410787723586242
Gwalior,300,5193113.0,300,17310.376666666667,0.5385692374404386
"Maninagar,Ahmedabad",373,4955068.0,373,13320.075268817205,0.5138819806589071
Udaipur,547,4908969.0,547,9262.205660377358,0.5091011289276303
Tirunelveli,121,4850868.0,121,40089.818181818184,0.5030755694482723
Siwan,44,4829491.0,44,114987.88095238095,0.500858595816317
"Indiranagar,Bangalore",1080,4807006.0,1080,4471.633488372093,0.49852671332043286
"Dwarka,Delhi",722,4564022.0,722,6392.187675070028,0.47332724094418616
"Governorpet,Vijayawada",575,4471543.0,575,7984.898214285714,0.4637363954322063
Gorakhpur,374,4151221.0,374,11129.278820375335,0.4305163258370721
Raichur,51,4090429.0,51,80204.49019607843,0.4242116871584069
Salem,228,4020789.0,228,18276.313636363637,0.41698943690208623
