user_id,recency_days,frequency,monetary,first_order,last_order,R_score,F_score,M_score,RFM_score,RFM_sum,segment
1,591,2,1672.0,2017-12-12,2018-11-14,2,4,3,243,9,Loyal / Active
2,694,3,4061.0,2018-02-13,2018-08-03,1,5,4,154,10,At Risk
3,409,1,21542.0,2019-05-15,2019-05-15,3,3,5,335,11,Low Engagement
4,507,1,102.0,2019-02-06,2019-02-06,2,3,1,231,6,At Risk
5,703,2,52047.0,2018-03-02,2018-07-25,1,4,5,145,10,At Risk
6,624,1,83.0,2018-10-12,2018-10-12,2,3,1,231,6,At Risk
8,372,1,241.0,2019-06-21,2019-06-21,3,3,1,331,7,Low Engagement
9,233,3,7940.0,2018-10-30,2019-11-07,4,5,4,454,13,Champions
10,68,2,2773.0,2019-05-07,2020-04-20,5,4,3,543,12,Champions
13,148,3,3819.0,2018-04-17,2020-01-31,4,5,4,454,13,Champions
14,697,1,20713.0,2018-07-31,2018-07-31,1,3,5,135,9,At Risk
15,311,2,1931.0,2019-06-18,2019-08-21,3,4,3,343,10,Loyal / Active
16,900,1,28269.0,2018-01-09,2018-01-09,1,3,5,135,9,At Risk
17,698,1,940.0,2018-07-30,2018-07-30,1,3,2,132,6,At Risk
18,824,2,18102.0,2017-12-05,2018-03-26,1,4,5,145,10,At Risk
19,989,1,19690.0,2017-10-12,2017-10-12,1,3,5,135,9,At Risk
20,241,3,4301.0,2017-12-01,2019-10-30,4,5,4,454,13,Champions
21,264,2,403.0,2019-01-11,2019-10-07,4,4,2,442,10,Champions
22,372,2,62700.0,2017-11-15,2019-06-21,3,4,5,345,12,Loyal / Active
23,598,1,384.0,2018-11-07,2018-11-07,2,3,2,232,7,At Risk
25,296,1,11120.0,2019-09-05,2019-09-05,4,3,4,434,11,Low Engagement
26,815,1,6940.0,2018-04-04,2018-04-04,1,3,4,134,8,At Risk
28,138,2,695.0,2019-08-05,2020-02-10,5,4,2,542,11,Champions
29,312,2,1704.0,2019-06-27,2019-08-20,3,4,3,343,10,Loyal / Active
30,292,3,4374.0,2017-12-19,2019-09-09,4,5,4,454,13,Champions
31,288,3,982.0,2018-07-16,2019-09-13,4,5,2,452,11,Champions
32,64,1,894.0,2020-04-24,2020-04-24,5,3,2,532,10,Low Engagement
