order_id,order_date,year,month,year_month,user_id,r_id,qty,qty_capped,amount,revenue,is_zero_amount,has_restaurant,currency,order_type,order_id_raw_tag
ORD0000000,2017-10-10,2017,10,2017-10,49226,567335.0,100,100.0,41241,41241.0,False,True,INR,Non-Veg,B496840219
ORD0000002,2018-04-06,2018,4,2018-04,5321,158203.0,1,1.0,875,875.0,False,True,INR,Other,D679770099
ORD0000003,2018-04-11,2018,4,2018-04,21343,187912.0,1,1.0,583,583.0,False,True,INR,Veg,E622201871
ORD0000004,2018-06-18,2018,6,2018-06,75378,543530.0,6,6.0,7176,7176.0,False,True,INR,Non-Veg,A980473889
ORD0000005,2017-11-20,2017,11,2017-11,34323,158204.0,59,59.0,500,500.0,False,True,INR,Non-Veg,A177128356
ORD0000006,2017-11-22,2017,11,2017-11,33246,156588.0,36,36.0,250,250.0,False,True,INR,Other,B425554799
ORD0000007,2017-11-23,2017,11,2017-11,87420,244866.0,39,39.0,21412,21412.0,False,True,INR,Non-Veg,B488690926
ORD0000008,2017-11-27,2017,11,2017-11,31017,156602.0,35,35.0,19213,19213.0,False,True,INR,Veg,D532246305
ORD0000009,2017-11-28,2017,11,2017-11,72391,158193.0,310,215.0,170185,170185.0,False,True,INR,Veg,E447012005
ORD0000010,2017-11-29,2017,11,2017-11,91457,407249.0,184,184.0,101194,101194.0,False,True,INR,Non-Veg,E720383086
ORD0000011,2017-11-30,2017,11,2017-11,33851,156590.0,35,35.0,19213,19213.0,False,True,INR,Veg,C803500351
ORD0000012,2017-11-29,2017,11,2017-11,27008,338749.0,17,17.0,9426,9426.0,False,True,INR,Other,D864650393
ORD0000013,2017-12-19,2017,12,2017-12,47798,156601.0,1,1.0,218,218.0,False,True,INR,Non-Veg,A576223988
ORD0000014,2018-08-07,2018,8,2018-08,58443,156587.0,5,5.0,3093,3093.0,False,True,INR,Non-Veg,B283070447
ORD0000015,2017-12-04,2017,12,2017-12,32969,158192.0,58,58.0,30306,30306.0,False,True,INR,Other,E943770295
ORD0000016,2018-06-29,2018,6,2018-06,29585,394554.0,38,38.0,52319,52319.0,False,True,INR,Non-Veg,E997262237
ORD0000017,2018-07-02,2018,7,2018-07,29210,158195.0,93,93.0,126296,126296.0,False,True,INR,Other,B888693969
ORD0000018,2018-07-03,2018,7,2018-07,44025,257181.0,79,79.0,107500,107500.0,False,True,INR,Other,A812825440
ORD0000019,2018-07-04,2018,7,2018-07,81729,530909.0,1,1.0,273,273.0,False,True,INR,Non-Veg,D677845292
ORD0000020,2018-07-06,2018,7,2018-07,55846,573649.0,3,3.0,3574,3574.0,False,True,INR,Other,D837238747
ORD0000021,2018-07-13,2018,7,2018-07,56648,573656.0,1,1.0,273,273.0,False,True,INR,Non-Veg,E187366401
ORD0000022,2019-06-07,2019,6,2019-06,7018,420675.0,20,20.0,23403,23403.0,False,True,INR,Veg,A107853603
ORD0000023,2019-07-29,2019,7,2019-07,29312,427610.0,81,81.0,76329,76329.0,False,True,INR,Veg,E261811325
ORD0000024,2019-08-01,2019,8,2019-08,68553,435582.0,5,5.0,4542,4542.0,False,True,INR,Veg,D400703758
ORD0000025,2019-09-19,2019,9,2019-09,5753,382204.0,18,18.0,16579,16579.0,False,True,INR,Other,A954525263
ORD0000026,2019-09-27,2019,9,2019-09,80146,460692.0,90,90.0,105301,105301.0,False,True,INR,Veg,A487162997
ORD0000027,2017-10-09,2017,10,2017-10,41882,368328.0,1,1.0,185,185.0,False,True,INR,Other,C882805333
ORD0000028,2017-10-13,2017,10,2017-10,572,530878.0,1,1.0,556,556.0,False,True,INR,Other,B720702811
ORD0000029,2017-10-27,2017,10,2017-10,53990,171675.0,1,1.0,551,551.0,False,True,INR,Non-Veg,C947476279
ORD0000030,2017-11-03,2017,11,2017-11,22718,475283.0,1,1.0,167,167.0,False,True,INR,Other,B658857763
ORD0000031,2017-11-06,2017,11,2017-11,40886,421155.0,1,1.0,333,333.0,False,True,INR,Veg,A365074961
