city,orders_base,orders_decl,orders_base_per_day,orders_decl_per_day,change_per_day
"Koramangala,Bangalore",315.0,76.0,6.428571428571429,0.8260869565217391,-5.60248447204969
"N A D,Vizag",177.0,0.0,3.6122448979591835,0.0,-3.6122448979591835
"Rajarajeshwari Nagar,Bangalore",256.0,197.0,5.224489795918367,2.141304347826087,-3.08318544809228
"Avadi,Chennai",139.0,0.0,2.836734693877551,0.0,-2.836734693877551
"Panampilly Nagar,Kochi",133.0,0.0,2.7142857142857144,0.0,-2.7142857142857144
"HSR,Bangalore",133.0,10.0,2.7142857142857144,0.10869565217391304,-2.6055900621118013
"Banashankari,Bangalore",122.0,12.0,2.489795918367347,0.13043478260869565,-2.3593611357586513
"Mysore South,Mysore",145.0,61.0,2.9591836734693877,0.6630434782608695,-2.296140195208518
"Maninagar,Ahmedabad",114.0,12.0,2.326530612244898,0.13043478260869565,-2.196095829636202
"Bandra West,Mumbai",106.0,0.0,2.163265306122449,0.0,-2.163265306122449
Sikar,102.0,0.0,2.0816326530612246,0.0,-2.0816326530612246
Kollam,98.0,0.0,2.0,0.0,-2.0
"Chinar Park,Kolkata",89.0,8.0,1.816326530612245,0.08695652173913043,-1.7293700088731145
Cuttack,127.0,89.0,2.5918367346938775,0.967391304347826,-1.6244454303460514
"South Tukoganj,Indore",78.0,0.0,1.5918367346938775,0.0,-1.5918367346938775
"OMR Navalur,Chennai",70.0,0.0,1.4285714285714286,0.0,-1.4285714285714286
Silchar,67.0,0.0,1.3673469387755102,0.0,-1.3673469387755102
Ooty,63.0,0.0,1.2857142857142858,0.0,-1.2857142857142858
Ongole,62.0,0.0,1.2653061224489797,0.0,-1.2653061224489797
"Powai,Mumbai",61.0,0.0,1.2448979591836735,0.0,-1.2448979591836735
Thrissur,54.0,0.0,1.1020408163265305,0.0,-1.1020408163265305
"Hinjewadi Phase-3,Pune",52.0,0.0,1.0612244897959184,0.0,-1.0612244897959184
Rampur,52.0,0.0,1.0612244897959184,0.0,-1.0612244897959184
Nellore,51.0,0.0,1.0408163265306123,0.0,-1.0408163265306123
Jamshedpur,49.0,0.0,1.0,0.0,-1.0
"Mehdipatnam,Hyderabad",49.0,0.0,1.0,0.0,-1.0
"Aundh,Pune",47.0,0.0,0.9591836734693877,0.0,-0.9591836734693877
Puri,55.0,17.0,1.1224489795918366,0.18478260869565216,-0.9376663708961845
Gudivada,45.0,0.0,0.9183673469387755,0.0,-0.9183673469387755
