year_month,orders,revenue,aov
2017-10,4293,26349356.0,6217.4
2017-11,5500,35385139.0,6505.82
2017-12,4975,31833907.0,6463.74
2018-01,5320,42521659.0,8113.27
2018-02,5024,35258929.0,7141.77
2018-03,5238,38169872.0,7391.53
2018-04,5120,35919198.0,7073.49
2018-05,5277,32273884.0,6176.82
2018-06,5534,34925537.0,6357.03
2018-07,5405,36228538.0,6756.53
2018-08,5379,39459625.0,7408.87
2018-09,4873,30102531.0,6264.83
2018-10,5171,27731427.0,5411.01
2018-11,4905,31311761.0,6421.61
2018-12,4293,30405982.0,7183.08
2019-01,4691,31531844.0,6811.8
2019-02,4630,27189432.0,5941.75
2019-03,4664,28224398.0,6106.53
2019-04,4447,27654680.0,6280.87
2019-05,4740,28050701.0,5954.3
2019-06,4385,25418299.0,5866.21
2019-07,4958,35192282.0,7164.55
2019-08,4091,32212074.0,7949.67
2019-09,4141,25044705.0,6153.49
2019-10,4299,26724865.0,6279.34
2019-11,3944,26611713.0,6871.09
2019-12,3431,22580255.0,6682.53
2020-01,4003,25659711.0,6465.03
2020-02,4031,26925734.0,6761.86
2020-03,3583,26385217.0,7449.24
2020-04,3621,25264333.0,7004.25
2020-05,3565,23288588.0,6552.78
2020-06,2747,14711976.0,5387.03
