city,orders,revenue,pct_of_total_revenue
Tirupati,243,42503460.0,4.41
"Electronic City,Bangalore",1039,28599623.0,2.97
"Baner,Pune",814,26784833.0,2.78
Raipur,482,22756624.0,2.36
"Malviya Nagar,Delhi",901,16508442.0,1.71
Sultanpur,265,15056504.0,1.56
"Vastrapur,Ahmedabad",596,13091765.0,1.36
"Indirapuram,Delhi",1279,13027458.0,1.35
"Navrangpura,Ahmedabad",433,12396403.0,1.29
"Rohini,Delhi",1136,12189017.0,1.26
Bikaner,1666,11355334.0,1.18
Tirupur,237,10930719.0,1.13
"Bopal,Ahmedabad",398,10830446.0,1.12
"Ghatlodia,Ahmedabad",301,10564418.0,1.1
"Hinjewadi,Pune",492,10505601.0,1.09
Sirsa,132,10306212.0,1.07
Sonipat,117,10055161.0,1.04
"BTM,Bangalore",1161,8986541.0,0.93
"GOTA,Ahmedabad",243,8933109.0,0.93
"Viman Nagar,Pune",1001,8801875.0,0.91
Ranchi,414,8533995.0,0.89
"Chandkheda,Ahmedabad",383,8296678.0,0.86
"Rajouri Garden,Delhi",710,8261529.0,0.86
Agra,455,8118481.0,0.84
"NSP,Delhi",451,7982889.0,0.83
