r_id,name,city,orders,revenue,aov
377150,Janta Snacks,"Navrangpura,Ahmedabad",1,1510944.0,1510944.0
80384,Domino's Pizza,Tirupati,1,1492435.0,1492435.0
474086,Happy Brew Cafe,Tirupati,1,1477458.0,1477458.0
387586,Kouzina Kafe - The Food Court,"Electronic City,Bangalore",1,1477394.0,1477394.0
123836,Jaysika DDN Fast Food,Rishikesh,1,1338264.0,1338264.0
566896,Cafe Yummy,Raipur,1,1316921.0,1316921.0
213931,Huber & Holly,"Navrangpura,Ahmedabad",1,1283875.0,1283875.0
435278,Krishna Food,"Ghatlodia,Ahmedabad",1,1283875.0,1283875.0
455334,ZAATAR SPICE,"Electronic City,Bangalore",1,1235347.0,1235347.0
378311,Blue Tokai Coffee Roasters,"Connaught Place,Delhi",1,1228148.0,1228148.0
403433,NBK Food Home,"Chattarpur,Delhi",1,1224088.0,1224088.0
194563,McCafe by McDonald's,Tirupati,1,1160782.0,1160782.0
516065,SRI LAKSHMI  BAR AND RESTAURANT,Raichur,1,1089685.0,1089685.0
241740,Biryani House,Rewari,1,1072000.0,1072000.0
567906,Meals & More by The Asian Secret,Sirsa,1,1007972.0,1007972.0
529020,Wack Waffles & Brownies,"Chandkheda,Ahmedabad",1,996102.0,996102.0
323185,REDDY VISHNU FAST FOODS,Tirupati,1,994954.0,994954.0
357663,Mirch Masala,"Ghatlodia,Ahmedabad",1,994241.0,994241.0
553387,Sujay Krishna Cool Cafe,Tirupati,1,984977.0,984977.0
417294,Jayhind Sweets,"Ghatlodia,Ahmedabad",1,970130.0,970130.0
524903,WoW China,"Navrangpura,Ahmedabad",1,970130.0,970130.0
86674,Manju Mamta Restaurant,Raipur,1,878935.0,878935.0
202522,Man Pasand Family Restaurant,Siwan,1,873528.0,873528.0
164460,Moti Mahal Delux -Tandoori Trail,Sitapur,1,860306.0,860306.0
201784,North indian fast food,Sirsi,1,860306.0,860306.0
