r_id,rating_numeric,rating_count_floor,orders,revenue
211,4.3,100.0,1,3440.0
218,4.4,1000.0,1,537.0
219,3.9,500.0,1,972.0
221,4.0,100.0,1,3069.0
223,4.4,5000.0,1,171.0
226,3.8,100.0,1,34495.0
227,3.9,50.0,1,764.0
229,4.3,5000.0,1,588.0
232,4.3,500.0,1,222.0
234,4.1,100.0,1,44069.0
237,4.2,100.0,1,306.0
241,3.9,500.0,1,528.0
246,4.2,50.0,1,968.0
248,3.8,100.0,1,6556.0
249,3.9,100.0,1,3509.0
252,4.0,100.0,1,389.0
254,4.3,100.0,1,593.0
256,4.2,100.0,1,5708.0
258,4.4,100.0,1,52889.0
262,4.5,1000.0,1,7083.0
263,4.2,50.0,1,157.0
267,4.2,100.0,1,4009.0
270,3.9,500.0,1,1019.0
271,4.4,1000.0,1,1370.0
275,4.2,1000.0,1,1412.0
287,3.8,100.0,1,97.0
295,4.2,500.0,1,2264.0
297,4.1,100.0,1,208.0
304,4.2,1000.0,1,375.0
305,3.9,1000.0,1,676.0
307,4.3,1000.0,1,7546.0
308,4.2,500.0,1,1602.0
310,4.0,100.0,1,10370.0
312,4.4,500.0,1,139.0
322,3.9,500.0,1,204.0
323,4.1,1000.0,1,2005.0
325,4.4,1000.0,1,4144.0
327,4.3,500.0,1,1153.0
330,4.4,50.0,1,3546.0
333,4.2,100.0,1,3546.0
343,4.0,500.0,1,1713.0
346,4.1,1000.0,1,7546.0
352,4.1,100.0,1,7546.0
363,4.2,1000.0,1,3319.0
364,3.9,100.0,1,218.0
372,4.3,1000.0,1,481.0
381,4.3,500.0,1,2639.0
383,4.0,100.0,1,764.0
385,4.6,50.0,1,23671.0
392,4.0,100.0,1,1148.0
397,4.4,50.0,1,727.0
402,4.2,1000.0,1,574.0
407,3.7,500.0,1,1713.0
408,3.8,100.0,1,912.0
410,4.2,100.0,1,8935.0
418,3.5,1000.0,1,1366.0
425,4.0,1000.0,1,97.0
426,4.0,1000.0,1,3968.0
427,4.1,1000.0,1,1005.0
428,3.8,1000.0,1,12347.0
432,4.0,100.0,1,1556.0
435,4.5,100.0,1,657.0
436,4.0,100.0,1,1556.0
446,4.3,100.0,1,889.0
453,4.2,100.0,1,667.0
455,4.5,1000.0,1,468.0
456,4.3,1000.0,1,8509.0
458,4.7,100.0,1,519.0
502,3.8,100.0,1,5199.0
504,4.1,100.0,1,2667.0
505,4.1,100.0,1,389.0
506,3.9,100.0,1,1264.0
507,4.0,50.0,1,574.0
535,4.2,500.0,1,560.0
542,4.0,500.0,1,1315.0
549,4.4,1000.0,1,542.0
568,3.6,50.0,1,542.0
574,4.3,100.0,1,1546.0
583,4.1,1000.0,1,5926.0
589,4.1,500.0,1,1125.0
593,4.4,1000.0,1,10921.0
601,4.2,500.0,1,5972.0
604,4.0,100.0,1,588.0
607,4.0,1000.0,1,532.0
608,4.0,100.0,1,880.0
621,4.3,100.0,1,4579.0
625,4.3,100.0,1,5167.0
644,3.5,100.0,1,4000.0
646,4.3,500.0,1,134.0
655,4.3,1000.0,1,264.0
664,4.3,500.0,1,3454.0
665,4.3,1000.0,1,3412.0
667,4.3,50.0,1,1954.0
669,4.1,500.0,1,10366.0
676,4.4,500.0,1,704.0
678,4.1,20.0,1,3935.0
683,4.2,100.0,1,176.0
690,4.4,100.0,1,13593.0
722,4.7,100.0,1,4523.0
732,4.1,500.0,1,185.0
741,4.0,100.0,1,8213.0
742,3.9,100.0,1,231.0
756,4.6,1000.0,1,11065.0
757,4.6,500.0,1,1671.0
766,4.2,500.0,1,407.0
776,3.8,500.0,1,1995.0
792,4.2,100.0,1,130.0
795,4.1,100.0,1,1204.0
802,3.8,100.0,1,903.0
807,3.9,500.0,1,8296.0
820,4.2,500.0,1,97.0
850,4.0,100.0,1,208.0
859,4.2,1000.0,1,648.0
873,3.9,500.0,1,22671.0
882,4.1,100.0,1,4051.0
884,3.8,500.0,1,1227.0
