year_month,orders,revenue,prev_month_revenue,mom_revenue_growth_pct,running_total_revenue
2017-10,4293,26349356.0,,,26349356.0
2017-11,5500,35385139.0,26349356.0,34.29,61734495.0
2017-12,4975,31833907.0,35385139.0,-10.04,93568402.0
2018-01,5320,42521659.0,31833907.0,33.57,136090061.0
2018-02,5024,35258929.0,42521659.0,-17.08,171348990.0
2018-03,5238,38169872.0,35258929.0,8.26,209518862.0
2018-04,5120,35919198.0,38169872.0,-5.9,245438060.0
2018-05,5277,32273884.0,35919198.0,-10.15,277711944.0
2018-06,5534,34925537.0,32273884.0,8.22,312637481.0
2018-07,5405,36228538.0,34925537.0,3.73,348866019.0
2018-08,5379,39459625.0,36228538.0,8.92,388325644.0
2018-09,4873,30102531.0,39459625.0,-23.71,418428175.0
2018-10,5171,27731427.0,30102531.0,-7.88,446159602.0
2018-11,4905,31311761.0,27731427.0,12.91,477471363.0
2018-12,4293,30405982.0,31311761.0,-2.89,507877345.0
2019-01,4691,31531844.0,30405982.0,3.7,539409189.0
2019-02,4630,27189432.0,31531844.0,-13.77,566598621.0
2019-03,4664,28224398.0,27189432.0,3.81,594823019.0
2019-04,4447,27654680.0,28224398.0,-2.02,622477699.0
2019-05,4740,28050701.0,27654680.0,1.43,650528400.0
2019-06,4385,25418299.0,28050701.0,-9.38,675946699.0
2019-07,4958,35192282.0,25418299.0,38.45,711138981.0
2019-08,4091,32212074.0,35192282.0,-8.47,743351055.0
2019-09,4141,25044705.0,32212074.0,-22.25,768395760.0
2019-10,4299,26724865.0,25044705.0,6.71,795120625.0
2019-11,3944,26611713.0,26724865.0,-0.42,821732338.0
2019-12,3431,22580255.0,26611713.0,-15.15,844312593.0
2020-01,4003,25659711.0,22580255.0,13.64,869972304.0
2020-02,4031,26925734.0,25659711.0,4.93,896898038.0
2020-03,3583,26385217.0,26925734.0,-2.01,923283255.0
2020-04,3621,25264333.0,26385217.0,-4.25,948547588.0
2020-05,3565,23288588.0,25264333.0,-7.82,971836176.0
2020-06,2747,14711976.0,23288588.0,-36.83,986548152.0
