year_month,orders,revenue,aov,mom_orders_growth_pct,mom_aov_growth_pct
2017-10,4293,26349356.0,6217.4,,
2017-11,5500,35385139.0,6505.82,28.12,4.64
2017-12,4975,31833907.0,6463.74,-9.55,-0.65
2018-01,5320,42521659.0,8113.27,6.93,25.52
2018-02,5024,35258929.0,7141.77,-5.56,-11.97
2018-03,5238,38169872.0,7391.53,4.26,3.5
2018-04,5120,35919198.0,7073.49,-2.25,-4.3
2018-05,5277,32273884.0,6176.82,3.07,-12.68
2018-06,5534,34925537.0,6357.03,4.87,2.92
2018-07,5405,36228538.0,6756.53,-2.33,6.28
2018-08,5379,39459625.0,7408.87,-0.48,9.65
2018-09,4873,30102531.0,6264.83,-9.41,-15.44
2018-10,5171,27731427.0,5411.01,6.12,-13.63
2018-11,4905,31311761.0,6421.61,-5.14,18.68
2018-12,4293,30405982.0,7183.08,-12.48,11.86
2019-01,4691,31531844.0,6811.8,9.27,-5.17
2019-02,4630,27189432.0,5941.75,-1.3,-12.77
2019-03,4664,28224398.0,6106.53,0.73,2.77
2019-04,4447,27654680.0,6280.87,-4.65,2.85
2019-05,4740,28050701.0,5954.3,6.59,-5.2
2019-06,4385,25418299.0,5866.21,-7.49,-1.48
2019-07,4958,35192282.0,7164.55,13.07,22.13
2019-08,4091,32212074.0,7949.67,-17.49,10.96
2019-09,4141,25044705.0,6153.49,1.22,-22.59
2019-10,4299,26724865.0,6279.34,3.82,2.05
2019-11,3944,26611713.0,6871.09,-8.26,9.42
2019-12,3431,22580255.0,6682.53,-13.01,-2.74
2020-01,4003,25659711.0,6465.03,16.67,-3.25
2020-02,4031,26925734.0,6761.86,0.7,4.59
2020-03,3583,26385217.0,7449.24,-11.11,10.17
2020-04,3621,25264333.0,7004.25,1.06,-5.97
2020-05,3565,23288588.0,6552.78,-1.55,-6.45
2020-06,2747,14711976.0,5387.03,-22.95,-17.79
